"t","type","k","id","Ta","To","To2","T"
16:20:57,"dci","40","08",24.87,41.21,80.37,39.588987
16:20:58,"dci","40","08",24.99,41.23,72.69,39.588963
16:20:59,"dci","40","08",25.01,41.09,66.49,39.588937
16:21:00,"dci","40","08",25.01,41.09,61.37,39.588918
16:21:01,"dci","40","08",25.07,41.05,57.95,39.588899
16:21:02,"dci","40","08",25.11,41.03,54.55,39.588879
16:21:03,"dci","40","08",25.09,41.03,52.59,39.588862
16:21:04,"dci","40","08",25.09,41.01,50.83,39.588833
16:21:05,"dci","40","08",25.07,41.01,48.53,39.588802
16:21:07,"dci","40","08",25.13,41.13,46.57,39.58877
16:21:08,"dci","40","08",25.13,41.13,46.01,39.588722
16:21:09,"dci","40","08",25.11,41.13,46.31,39.588693
16:21:10,"dci","40","08",25.13,41.09,47.29,39.588655
16:21:11,"dci","40","08",25.13,41.03,46.97,39.588625
16:21:12,"dci","40","08",25.13,41.03,47.05,39.588584
16:21:13,"dci","40","08",25.13,40.93,46.47,39.588541
16:21:14,"dci","40","08",25.15,40.99,45.93,39.588507
16:21:15,"dci","40","08",25.15,40.85,45.25,39.588478
16:21:16,"dci","40","08",25.11,40.89,44.61,39.588444
16:21:17,"dci","40","08",25.11,40.97,44.35,39.588401
16:21:18,"dci","40","08",25.13,40.97,43.57,39.588365
16:21:19,"dci","40","08",25.11,41.03,43.83,39.588329
16:21:20,"dci","40","08",25.15,41.07,44.39,39.588281
16:21:21,"dci","40","08",25.13,41.13,44.49,39.588262
16:21:22,"dci","40","08",25.13,40.99,44.67,39.588214
16:21:23,"dci","40","08",25.15,41.03,44.53,39.588183
16:21:24,"dci","40","08",25.13,41.03,43.89,39.588157
16:21:25,"dci","40","08",25.15,41.03,43.83,39.588126
16:21:26,"dci","40","08",25.07,41.07,43.41,39.588087
16:21:27,"dci","40","08",25.13,41.05,43.69,39.588055
16:21:28,"dci","40","08",25.19,41.09,43.99,39.588039
16:21:29,"dci","40","08",25.13,41.03,44.31,39.58802
16:21:30,"dci","40","08",25.15,41.03,44.15,39.587987
16:21:31,"dci","40","08",25.15,41.13,43.59,39.587966
16:21:32,"dci","40","08",25.07,41.03,43.59,39.587943
16:21:33,"dci","40","08",25.19,41.03,43.71,39.587928
16:21:34,"dci","40","08",25.13,41.09,42.79,39.587903
16:21:35,"dci","40","08",25.13,40.95,42.95,39.587882
16:21:36,"dci","40","08",25.13,41.03,42.39,39.587868
16:21:37,"dci","40","08",25.15,41.09,42.93,39.587853
16:21:38,"dci","40","08",25.13,41.11,43.23,39.587835
16:21:39,"dci","40","08",25.11,41.05,44.01,39.587821
16:21:41,"dci","40","08",25.17,41.13,44.59,39.587781
16:21:42,"dci","40","08",25.15,41.13,45.03,39.587776
16:21:43,"dci","40","08",25.13,41.13,44.37,39.587771
16:21:45,"dci","40","08",25.15,41.05,44.41,39.587771
16:21:46,"dci","40","08",25.13,41.03,44.07,39.587757
16:21:47,"dci","40","08",25.15,41.05,44.53,39.587755
16:21:48,"dci","40","08",25.13,40.95,44.21,39.58775
16:21:49,"dci","40","08",25.13,41.05,44.15,39.587745
16:21:50,"dci","40","08",25.17,41.11,43.97,39.587756
16:21:51,"dci","40","08",25.13,41.03,43.43,39.587749
16:21:52,"dci","40","08",25.13,41.03,42.69,39.587758
16:21:53,"dci","40","08",25.17,41.03,42.41,39.587757
16:21:54,"dci","40","08",25.15,40.99,42.41,39.587763
16:21:55,"dci","40","08",25.17,41.03,41.87,39.58777
16:21:56,"dci","40","08",25.17,40.99,41.69,39.587769
16:21:57,"dci","40","08",25.15,41.03,42.09,39.587773
16:21:58,"dci","40","08",25.09,41.01,42.19,39.587764
16:21:59,"dci","40","08",25.17,41.09,42.39,39.587773
16:22:00,"dci","40","08",25.15,41.13,43.11,39.58779
