"t","Ta","To","To2","T"
14:51:46,23.17,8.15,2.09,4.654782
14:51:47,23.17,8.19,3.77,4.65485
14:51:48,23.19,8.19,4.57,4.654913
14:51:49,23.17,8.09,5.35,4.654969
14:51:50,23.15,8.05,6.17,4.655029
14:51:51,23.21,8.15,6.39,4.655102
14:51:52,23.17,8.11,6.69,4.655178
14:51:53,23.01,7.97,6.99,4.655242
14:51:54,23.15,8.17,7.13,4.655307
14:51:55,23.17,8.19,7.51,4.655372
14:51:56,23.21,8.15,7.69,4.655433
14:51:57,23.13,8.13,7.65,4.655497
14:51:58,23.15,8.19,7.91,4.655558
14:51:59,23.13,8.07,7.71,4.655611
14:52:00,23.17,8.11,7.67,4.655647
14:52:01,23.17,8.09,7.97,4.655681
14:52:02,23.19,8.05,7.81,4.655727
14:52:03,23.17,8.19,8.23,4.655765
14:52:04,23.15,8.13,7.99,4.655789
14:52:05,23.17,8.19,8.27,4.65581
14:52:06,23.17,8.07,8.37,4.655818
14:52:07,23.17,8.07,8.67,4.655821
14:52:08,23.13,8.11,8.45,4.655821
14:52:09,23.19,8.11,8.17,4.655817
14:52:10,23.17,8.07,8.17,4.655808
14:52:11,23.11,8.05,8.17,4.655787
14:52:12,23.17,8.11,8.05,4.65577
14:52:13,23.21,8.15,8.03,4.655755
14:52:14,23.17,8.17,7.87,4.65572
14:52:15,23.25,8.15,8.41,4.655687
14:52:16,23.21,8.13,8.21,4.655649
14:52:17,23.17,8.13,8.25,4.655613
14:52:18,23.17,8.07,8.31,4.655582
14:52:19,23.15,8.17,7.93,4.65555
14:52:21,23.17,8.13,8.31,4.65547
14:52:22,23.17,8.03,8.29,4.65542
14:52:23,23.17,8.15,8.13,4.655374
14:52:24,23.17,8.25,8.19,4.655327
14:52:25,23.19,8.13,7.89,4.655271
14:52:26,23.11,8.11,8.19,4.655233
14:52:27,23.17,8.19,8.45,4.655179
14:52:28,23.17,8.21,8.27,4.655127
14:52:29,23.13,8.09,8.59,4.655079
14:52:30,23.17,8.11,8.03,4.655037
14:52:31,23.17,8.11,8.21,4.654988
14:52:32,23.17,8.11,8.13,4.654948
14:52:33,23.17,8.11,8.13,4.654905
14:52:34,23.17,8.15,8.09,4.654871
14:52:35,23.15,8.13,8.15,4.654827
14:52:36,23.17,8.19,8.43,4.654795
14:52:37,23.17,8.09,8.13,4.654777
14:52:38,23.13,8.07,7.97,4.654747
14:52:39,23.17,8.09,8.75,4.654732
14:52:40,23.09,8.05,7.95,4.654723
14:52:41,23.19,8.17,8.73,4.654702
14:52:42,23.17,8.17,8.57,4.654694
14:52:43,23.13,8.05,8.29,4.654684
14:52:44,23.15,8.05,8.35,4.654691
14:52:45,23.17,8.13,8.15,4.654687
14:52:46,23.17,8.13,8.61,4.654689
14:52:47,23.13,8.11,8.49,4.654686
14:52:48,23.17,8.21,8.27,4.654691
14:52:49,23.17,8.19,8.27,4.654705
14:52:50,23.13,8.09,8.61,4.654729
14:52:51,23.17,8.21,8.25,4.654738
14:52:52,23.17,8.21,8.03,4.65476
