"t","type","k","id","Ta","To","To2","T"
16:48:05,"dch","40","09",26.13,40.55,44.63,39.588113
16:48:06,"dch","40","09",26.07,40.57,45.01,39.588117
16:48:07,"dch","40","09",26.15,40.55,44.71,39.588104
16:48:08,"dch","40","09",26.11,40.51,43.39,39.588095
16:48:09,"dch","40","09",26.11,40.51,42.27,39.588103
16:48:10,"dch","40","09",26.13,40.51,42.07,39.588099
16:48:11,"dch","40","09",26.13,40.45,42.01,39.588095
16:48:12,"dch","40","09",26.13,40.57,41.61,39.588095
16:48:13,"dch","40","09",26.09,40.51,41.25,39.588095
16:48:14,"dch","40","09",26.11,40.55,41.35,39.588096
16:48:15,"dch","40","09",26.11,40.51,41.19,39.588098
16:48:16,"dch","40","09",26.11,40.53,41.07,39.588101
16:48:18,"dch","40","09",26.09,40.51,43.01,39.588099
16:48:19,"dch","40","09",26.13,40.55,43.55,39.588091
16:48:20,"dch","40","09",26.07,40.57,43.01,39.588088
16:48:21,"dch","40","09",26.11,40.53,42.39,39.588094
16:48:22,"dch","40","09",26.15,40.59,42.09,39.588096
16:48:23,"dch","40","09",26.11,40.55,42.19,39.588105
16:48:24,"dch","40","09",26.17,40.57,41.47,39.588107
16:48:26,"dch","40","09",26.13,40.51,40.13,39.588113
16:48:27,"dch","40","09",26.13,40.49,39.81,39.5881
16:48:28,"dch","40","09",26.09,40.53,39.77,39.588101
16:48:29,"dch","40","09",26.13,40.49,39.89,39.588112
16:48:30,"dch","40","09",26.13,40.47,39.73,39.588108
16:48:31,"dch","40","09",26.13,40.53,39.33,39.58811
16:48:32,"dch","40","09",26.05,40.51,39.63,39.58812
16:48:34,"dch","40","09",26.09,40.59,39.67,39.58813
16:48:35,"dch","40","09",26.13,40.47,40.69,39.588145
16:48:37,"dch","40","09",26.09,40.51,40.31,39.588156
16:48:39,"dch","40","09",26.11,40.57,40.15,39.588179
16:48:40,"dch","40","09",26.11,40.47,41.03,39.58819
16:48:41,"dch","40","09",26.11,40.55,40.25,39.588203
16:48:42,"dch","40","09",26.13,40.51,41.03,39.588222
16:48:43,"dch","40","09",26.09,40.49,41.73,39.588239
16:48:44,"dch","40","09",26.15,40.55,40.79,39.588249
16:48:45,"dch","40","09",26.05,40.47,40.25,39.588258
16:48:46,"dch","40","09",26.15,40.59,39.51,39.588269
16:48:47,"dch","40","09",26.11,40.55,40.57,39.588277
16:48:48,"dch","40","09",26.11,40.47,40.87,39.588294
16:48:49,"dch","40","09",26.09,40.55,40.35,39.58831
16:48:50,"dch","40","09",26.07,40.51,39.65,39.588321
16:48:51,"dch","40","09",26.09,40.51,40.33,39.588337
16:48:52,"dch","40","09",26.11,40.51,41.21,39.588352
16:48:53,"dch","40","09",26.13,40.55,41.75,39.588367
16:48:54,"dch","40","09",26.13,40.55,41.89,39.588373
16:48:55,"dch","40","09",26.07,40.55,41.33,39.588382
16:48:56,"dch","40","09",26.07,40.45,39.55,39.588402
16:48:57,"dch","40","09",26.15,40.47,39.35,39.588422
16:48:58,"dch","40","09",26.07,40.55,39.09,39.588437
16:48:59,"dch","40","09",26.13,40.53,39.73,39.588449
16:49:01,"dch","40","09",26.09,40.55,41.59,39.58847
16:49:02,"dch","40","09",26.07,40.55,41.33,39.588498
16:49:03,"dch","40","09",26.13,40.55,41.49,39.588514
16:49:04,"dch","40","09",26.13,40.55,40.97,39.588533
16:49:05,"dch","40","09",26.11,40.53,41.19,39.588557
16:49:06,"dch","40","09",26.07,40.47,41.51,39.588566
16:49:07,"dch","40","09",26.11,40.51,41.31,39.588581
16:49:08,"dch","40","09",26.11,40.51,39.53,39.588593
16:49:09,"dch","40","09",26.13,40.55,39.45,39.588592
