"t","type","k","id","Ta","To","To2","T"
16:14:13,"dci","40","06",24.69,41.29,72.17,39.587497
16:14:14,"dci","40","06",24.75,41.27,66.31,39.587482
16:14:15,"dci","40","06",24.73,41.19,61.51,39.587473
16:14:16,"dci","40","06",24.83,41.13,57.07,39.587471
16:14:17,"dci","40","06",24.83,41.11,53.95,39.587476
16:14:18,"dci","40","06",24.81,41.11,51.21,39.587487
16:14:19,"dci","40","06",24.89,41.05,48.89,39.587479
16:14:20,"dci","40","06",24.87,41.09,47.11,39.587482
16:14:21,"dci","40","06",24.91,41.09,46.13,39.587502
16:14:22,"dci","40","06",24.89,41.03,45.59,39.5875
16:14:23,"dci","40","06",24.93,41.03,44.09,39.587515
16:14:24,"dci","40","06",24.95,41.09,43.57,39.587537
16:14:25,"dci","40","06",24.91,41.11,43.31,39.587542
16:14:26,"dci","40","06",24.99,41.11,42.79,39.587562
16:14:27,"dci","40","06",24.97,41.03,42.57,39.587589
16:14:28,"dci","40","06",24.93,40.99,42.47,39.587606
16:14:29,"dci","40","06",24.95,41.01,41.51,39.587621
16:14:30,"dci","40","06",24.97,41.03,41.19,39.587628
16:14:31,"dci","40","06",24.97,40.97,40.97,39.587642
16:14:32,"dci","40","06",24.95,40.97,41.05,39.587666
16:14:33,"dci","40","06",24.97,41.09,40.75,39.587677
16:14:34,"dci","40","06",24.93,41.03,40.95,39.587691
16:14:35,"dci","40","06",25.01,41.15,40.89,39.587726
16:14:36,"dci","40","06",24.97,41.11,41.79,39.587741
16:14:37,"dci","40","06",25.01,41.09,41.19,39.587762
16:14:38,"dci","40","06",25.01,41.03,41.25,39.587775
16:14:39,"dci","40","06",24.95,41.03,41.23,39.587788
16:14:40,"dci","40","06",24.93,40.95,41.07,39.58781
16:14:41,"dci","40","06",24.97,41.07,40.53,39.587816
16:14:42,"dci","40","06",24.95,41.07,40.55,39.587844
16:14:43,"dci","40","06",24.97,41.01,40.39,39.587868
16:14:44,"dci","40","06",24.99,41.11,41.07,39.587887
16:14:45,"dci","40","06",24.99,40.99,41.09,39.587907
16:14:46,"dci","40","06",24.95,41.03,40.93,39.587927
16:14:47,"dci","40","06",24.97,40.99,40.39,39.587945
16:14:48,"dci","40","06",24.99,41.03,40.13,39.587957
16:14:49,"dci","40","06",25.01,41.07,40.75,39.587969
16:14:50,"dci","40","06",24.93,41.09,40.51,39.587995
16:14:51,"dci","40","06",24.97,41.09,40.83,39.588006
16:14:52,"dci","40","06",24.95,41.03,41.39,39.588033
16:14:53,"dci","40","06",24.99,41.17,41.77,39.588045
16:14:54,"dci","40","06",24.97,41.01,41.77,39.588057
16:14:55,"dci","40","06",24.99,41.09,42.13,39.588079
16:14:56,"dci","40","06",24.99,40.99,42.27,39.588096
16:14:57,"dci","40","06",25.01,41.03,41.83,39.588108
16:14:58,"dci","40","06",24.97,41.01,41.25,39.588115
16:14:59,"dci","40","06",24.99,41.03,41.17,39.588135
16:15:00,"dci","40","06",24.99,41.07,41.35,39.58815
16:15:01,"dci","40","06",25.03,41.03,41.73,39.588178
16:15:02,"dci","40","06",24.97,41.03,40.91,39.58819
16:15:03,"dci","40","06",25.01,41.09,40.93,39.588211
16:15:04,"dci","40","06",24.97,41.03,40.61,39.588228
16:15:05,"dci","40","06",24.99,41.07,40.29,39.588243
16:15:06,"dci","40","06",24.97,40.95,39.87,39.58825
16:15:07,"dci","40","06",25.01,41.01,39.67,39.588251
16:15:08,"dci","40","06",25.01,41.03,39.33,39.588267
16:15:09,"dci","40","06",24.97,41.03,39.13,39.588276
16:15:10,"dci","40","06",24.97,41.03,39.23,39.58827
16:15:11,"dci","40","06",24.99,41.05,38.93,39.588279
16:15:12,"dci","40","06",25.01,41.05,39.31,39.588276
16:15:13,"dci","40","06",25.01,41.05,39.41,39.588273
16:15:14,"dci","40","06",24.99,41.07,39.49,39.588284
16:15:15,"dci","40","06",24.97,41.05,40.07,39.588283
