"t","Ta","To","To2","T"
16:04:18,23.33,40.99,37.31,39.588073
16:04:19,23.29,41.01,37.87,39.58808
16:04:20,23.37,41.01,38.23,39.588098
16:04:21,23.31,41.03,38.67,39.588108
16:04:22,23.35,41.03,39.11,39.588114
16:04:23,23.37,41.01,40.11,39.588129
16:04:24,23.35,41.07,40.19,39.58814
16:04:25,23.37,41.01,41.39,39.588153
16:04:26,23.37,41.03,40.95,39.588159
16:04:27,23.41,41.05,40.45,39.588169
16:04:28,23.39,40.99,40.65,39.588193
16:04:29,23.35,41.03,40.45,39.588207
16:04:30,23.35,41.03,40.41,39.588216
16:04:31,23.39,40.99,40.09,39.588221
16:04:32,23.39,41.09,40.11,39.588233
16:04:33,23.39,41.03,40.23,39.588246
16:04:34,23.37,41.03,40.99,39.588266
16:04:35,23.41,41.03,41.67,39.588275
16:04:36,23.41,41.09,42.23,39.588293
16:04:37,23.45,40.95,42.97,39.588311
16:04:38,23.47,41.07,42.77,39.588331
16:04:39,23.43,40.99,42.57,39.588345
16:04:40,23.45,40.85,41.97,39.588359
16:04:42,23.43,40.85,39.51,39.588359
16:04:43,23.45,40.97,39.35,39.588368
16:04:44,23.47,41.03,39.29,39.588381
16:04:45,23.43,40.97,39.19,39.58838
16:04:47,23.49,41.03,39.19,39.588371
16:04:49,23.47,40.95,39.47,39.588364
16:04:50,23.51,40.99,40.01,39.588367
16:04:51,23.47,41.09,39.57,39.588363
16:04:52,23.51,40.93,40.11,39.588356
16:04:53,23.51,41.01,39.67,39.588346
16:04:54,23.51,41.09,39.65,39.588336
16:04:55,23.51,41.03,38.79,39.588323
16:04:56,23.53,41.09,39.11,39.588314
16:04:57,23.49,40.99,39.19,39.588304
16:04:58,23.43,40.99,39.17,39.58829
16:04:59,23.51,40.95,39.89,39.588284
16:05:00,23.47,41.03,40.65,39.588268
16:05:01,23.47,41.01,41.29,39.588258
16:05:02,23.53,40.99,41.49,39.588255
16:05:03,23.57,41.01,41.51,39.588239
16:05:04,23.53,40.89,41.29,39.588216
16:05:05,23.55,41.01,40.77,39.588194
16:05:06,23.51,41.01,40.81,39.588169
16:05:07,23.57,40.99,39.87,39.588146
16:05:08,23.57,41.03,40.49,39.588128
16:05:09,23.57,41.03,41.27,39.588098
16:05:10,23.59,40.97,42.13,39.588085
16:05:11,23.61,40.97,42.17,39.588048
16:05:12,23.57,40.91,41.83,39.588028
16:05:13,23.59,40.93,40.91,39.587986
16:05:14,23.59,40.97,40.95,39.587962
16:05:15,23.61,41.05,40.31,39.587937
16:05:16,23.61,40.95,40.53,39.587924
16:05:17,23.53,41.03,39.85,39.587906
16:05:18,23.55,41.01,40.83,39.587882
16:05:19,23.61,41.03,41.63,39.587848
16:05:20,23.61,40.95,42.73,39.587819
16:05:21,23.61,40.97,43.15,39.587792
16:05:22,23.59,40.89,43.07,39.58777
16:05:23,23.63,40.93,42.85,39.587751
16:05:24,23.67,41.01,42.27,39.587713
16:05:25,23.61,40.97,42.29,39.587697
