"t","type","k","id","Ta","To","To2","T"
14:32:09,"dci","5","10",23.05,6.75,-9.57,4.662168
14:32:10,"dci","5","10",22.99,6.75,-6.77,4.662053
14:32:11,"dci","5","10",23.01,6.75,-4.79,4.661924
14:32:12,"dci","5","10",22.95,6.65,-2.59,4.66179
14:32:13,"dci","5","10",22.95,6.83,-1.27,4.661655
14:32:14,"dci","5","10",22.97,6.79,-0.23,4.661519
14:32:15,"dci","5","10",22.95,6.71,1.69,4.661387
14:32:16,"dci","5","10",22.95,6.73,2.37,4.661245
14:32:17,"dci","5","10",22.95,6.73,3.43,4.661106
14:32:18,"dci","5","10",22.91,6.67,3.71,4.660951
14:32:19,"dci","5","10",22.89,6.75,4.39,4.660798
14:32:20,"dci","5","10",22.75,6.59,4.21,4.660645
14:32:21,"dci","5","10",22.97,6.73,5.25,4.660472
14:32:22,"dci","5","10",22.93,6.73,5.17,4.660301
14:32:23,"dci","5","10",22.97,6.77,5.67,4.660124
14:32:24,"dci","5","10",22.89,6.75,5.43,4.659941
14:32:25,"dci","5","10",22.93,6.75,5.13,4.65977
14:32:26,"dci","5","10",22.89,6.67,5.33,4.659591
14:32:27,"dci","5","10",22.93,6.87,5.41,4.659408
14:32:28,"dci","5","10",22.89,6.75,5.89,4.659237
14:32:29,"dci","5","10",22.89,6.77,6.05,4.659049
14:32:30,"dci","5","10",22.93,6.73,5.89,4.658872
14:32:31,"dci","5","10",22.89,6.75,6.17,4.658703
14:32:32,"dci","5","10",22.91,6.75,6.31,4.658523
14:32:33,"dci","5","10",22.95,6.67,6.13,4.658354
14:32:34,"dci","5","10",22.87,6.67,6.27,4.658183
14:32:35,"dci","5","10",22.91,6.71,6.75,4.658
14:32:36,"dci","5","10",22.89,6.75,6.25,4.657822
14:32:37,"dci","5","10",22.89,6.75,6.11,4.65764
14:32:38,"dci","5","10",22.87,6.71,6.43,4.657457
14:32:39,"dci","5","10",22.93,6.85,5.75,4.657278
14:32:40,"dci","5","10",22.91,6.69,6.17,4.65709
14:32:41,"dci","5","10",22.89,6.69,6.31,4.656912
14:32:42,"dci","5","10",22.95,6.75,5.97,4.656735
14:32:43,"dci","5","10",22.95,6.73,6.63,4.656567
14:32:44,"dci","5","10",22.91,6.71,6.47,4.656392
14:32:45,"dci","5","10",22.91,6.75,6.09,4.656219
14:32:46,"dci","5","10",22.87,6.77,6.03,4.65605
14:32:47,"dci","5","10",22.91,6.71,6.87,4.655883
14:32:48,"dci","5","10",22.87,6.73,6.29,4.655719
14:32:49,"dci","5","10",22.93,6.77,6.15,4.655563
14:32:50,"dci","5","10",22.89,6.65,6.97,4.655412
14:32:51,"dci","5","10",22.95,6.79,5.99,4.655275
14:32:52,"dci","5","10",22.89,6.71,6.41,4.655133
14:32:53,"dci","5","10",22.93,6.63,6.25,4.65501
14:32:54,"dci","5","10",22.89,6.73,6.53,4.65489
14:32:55,"dci","5","10",22.91,6.69,7.07,4.65477
14:32:56,"dci","5","10",22.93,6.77,6.55,4.654664
14:32:57,"dci","5","10",22.97,6.81,6.53,4.654575
14:32:58,"dci","5","10",22.91,6.69,7.17,4.654491
14:32:59,"dci","5","10",22.97,6.79,6.39,4.654424
14:33:00,"dci","5","10",22.89,6.65,6.73,4.654349
14:33:01,"dci","5","10",22.89,6.79,6.09,4.654296
14:33:02,"dci","5","10",22.91,6.79,6.23,4.65424
14:33:03,"dci","5","10",22.89,6.71,6.53,4.654198
14:33:04,"dci","5","10",22.87,6.73,6.59,4.654165
14:33:05,"dci","5","10",22.87,6.69,7.03,4.654147
14:33:06,"dci","5","10",22.93,6.75,6.31,4.654131
14:33:07,"dci","5","10",22.91,6.75,7.03,4.65411
14:33:08,"dci","5","10",22.95,6.77,6.31,4.654105
14:33:09,"dci","5","10",22.91,6.73,6.91,4.654103
14:33:10,"dci","5","10",22.93,6.67,7.27,4.654132
14:33:11,"dci","5","10",22.87,6.75,6.73,4.654165
