"t","type","k","id","Ta","To","To2","T"
15:45:10,"bcf","40","01",24.45,40.09,147.71,39.558265
15:45:11,"bcf","40","01",24.51,40.09,135.21,39.558337
15:45:12,"bcf","40","01",24.57,40.37,123.13,39.558406
15:45:13,"bcf","40","01",24.65,40.29,111.95,39.558483
15:45:14,"bcf","40","01",24.67,40.67,102.43,39.558571
15:45:15,"bcf","40","01",24.75,40.55,96.33,39.558653
15:45:16,"bcf","40","01",24.77,40.61,87.71,39.558741
15:45:17,"bcf","40","01",24.77,40.81,81.47,39.558823
15:45:18,"bcf","40","01",24.79,40.65,78.87,39.558914
15:45:19,"bcf","40","01",24.83,40.73,74.57,39.558999
15:45:20,"bcf","40","01",24.83,40.67,72.71,39.559099
15:45:21,"bcf","40","01",24.89,40.77,69.87,39.559185
15:45:22,"bcf","40","01",24.79,40.69,66.15,39.55928
15:45:23,"bcf","40","01",24.85,40.69,64.13,39.559378
15:45:24,"bcf","40","01",24.87,40.89,62.41,39.559483
15:45:25,"bcf","40","01",24.87,40.83,61.45,39.559587
15:45:26,"bcf","40","01",24.93,40.81,60.79,39.55968
15:45:27,"bcf","40","01",24.91,40.75,60.03,39.559785
15:45:28,"bcf","40","01",24.93,40.77,56.97,39.559901
15:45:29,"bcf","40","01",24.95,40.77,54.69,39.55999
15:45:30,"bcf","40","01",24.95,41.05,53.61,39.560086
15:45:31,"bcf","40","01",24.95,40.87,53.87,39.56019
15:45:32,"bcf","40","01",24.89,40.87,54.39,39.560291
15:45:33,"bcf","40","01",24.95,40.99,54.77,39.560395
15:45:34,"bcf","40","01",24.91,40.77,53.59,39.56051
15:45:35,"bcf","40","01",24.97,40.89,51.39,39.560614
15:45:36,"bcf","40","01",24.97,40.87,48.85,39.560716
15:45:37,"bcf","40","01",24.95,40.83,50.03,39.560817
15:45:38,"bcf","40","01",24.97,40.69,49.73,39.560916
15:45:39,"bcf","40","01",24.91,40.65,50.37,39.561019
15:45:40,"bcf","40","01",24.97,40.91,49.35,39.561124
15:45:41,"bcf","40","01",24.99,40.85,49.01,39.561227
15:45:42,"bcf","40","01",24.95,40.87,47.93,39.561328
15:45:43,"bcf","40","01",24.97,40.73,47.07,39.561425
15:45:44,"bcf","40","01",24.97,40.63,47.27,39.561515
15:45:45,"bcf","40","01",24.93,40.89,48.25,39.561605
15:45:46,"bcf","40","01",24.97,40.77,49.63,39.5617
15:45:47,"bcf","40","01",24.97,40.83,50.95,39.561803
15:45:48,"bcf","40","01",24.95,40.81,51.61,39.561903
15:45:49,"bcf","40","01",24.97,40.75,50.45,39.562
15:45:50,"bcf","40","01",24.97,40.93,48.21,39.562094
15:45:51,"bcf","40","01",24.99,40.89,46.69,39.562197
15:45:52,"bcf","40","01",24.97,40.97,45.45,39.562287
15:45:53,"bcf","40","01",24.97,40.81,44.17,39.562387
15:45:54,"bcf","40","01",24.95,40.79,44.67,39.562485
15:45:55,"bcf","40","01",24.95,40.81,44.49,39.562584
15:45:56,"bcf","40","01",24.97,40.67,44.51,39.56268
15:45:57,"bcf","40","01",24.97,40.89,44.25,39.562769
15:45:58,"bcf","40","01",24.95,40.87,44.33,39.562851
15:45:59,"bcf","40","01",24.97,40.95,44.45,39.562953
15:46:00,"bcf","40","01",24.99,40.89,46.49,39.563052
15:46:01,"bcf","40","01",24.95,40.77,45.57,39.563148
15:46:02,"bcf","40","01",24.95,40.95,45.11,39.563242
15:46:03,"bcf","40","01",24.99,40.79,43.77,39.563342
15:46:05,"bcf","40","01",24.95,40.87,44.15,39.563524
15:46:07,"bcf","40","01",25.03,40.89,47.91,39.563717
15:46:08,"bcf","40","01",24.95,40.73,47.81,39.563825
15:46:09,"bcf","40","01",24.97,40.79,48.51,39.563929
15:46:10,"bcf","40","01",25.01,40.89,45.91,39.564018
15:46:11,"bcf","40","01",24.99,40.89,44.55,39.564122
15:46:12,"bcf","40","01",25.01,40.85,44.83,39.564226
15:46:13,"bcf","40","01",25.05,40.87,43.53,39.564337
15:46:14,"bcf","40","01",24.99,40.73,44.49,39.564437
15:46:15,"bcf","40","01",24.97,40.93,45.31,39.564535
15:46:16,"bcf","40","01",24.99,40.91,44.95,39.564637
15:46:17,"bcf","40","01",24.99,40.87,45.71,39.564737
15:46:18,"bcf","40","01",25.01,40.75,46.41,39.564837
15:46:19,"bcf","40","01",24.99,40.77,44.75,39.56492
15:46:20,"bcf","40","01",25.03,40.83,42.87,39.565017
15:46:21,"bcf","40","01",24.99,40.95,44.19,39.565109
15:46:22,"bcf","40","01",24.99,40.77,43.67,39.565215
