"t","Ta","To","To2","T"
14:45:50,24.21,25.89,14.13,24.613976
14:45:51,24.25,25.87,14.81,24.613983
14:45:52,24.25,25.95,14.51,24.613991
14:45:53,24.27,26.03,13.43,24.614
14:45:54,24.23,25.91,15.21,24.614015
14:45:55,24.21,25.85,14.89,24.614024
14:45:56,24.25,25.87,16.93,24.614027
14:45:57,24.19,25.91,15.43,24.614037
14:45:58,24.23,25.93,16.01,24.614048
14:45:59,24.21,26.07,14.77,24.614051
14:46:00,24.25,26.07,15.89,24.614043
14:46:01,24.21,26.09,16.11,24.614059
14:46:02,24.23,25.91,15.89,24.614055
14:46:03,24.23,25.95,17.23,24.614061
14:46:04,24.23,25.99,15.97,24.614064
14:46:05,24.25,26.03,17.57,24.614062
14:46:06,24.21,26.07,15.43,24.614057
14:46:07,24.25,25.85,16.13,24.61405
14:46:08,24.23,26.01,17.19,24.614046
14:46:09,24.19,25.87,20.07,24.614031
14:46:10,24.23,25.91,18.19,24.614021
14:46:11,24.25,26.01,18.49,24.614022
14:46:12,24.21,26.03,17.03,24.614009
14:46:13,24.23,26.05,17.67,24.613996
14:46:14,24.23,26.13,17.73,24.613987
14:46:15,24.19,25.99,18.05,24.613985
14:46:16,24.25,26.17,17.11,24.613978
14:46:17,24.21,25.89,18.01,24.613972
14:46:18,24.23,26.15,17.69,24.613969
14:46:19,24.23,26.07,18.99,24.613954
14:46:20,24.23,25.81,19.57,24.613944
14:46:21,24.19,26.05,19.01,24.613933
14:46:22,24.21,26.03,20.15,24.613917
14:46:23,24.21,25.97,18.67,24.61391
14:46:24,24.23,26.13,20.21,24.613891
14:46:25,24.21,26.11,18.33,24.613868
14:46:26,24.23,25.89,21.23,24.613845
14:46:27,24.19,26.23,19.35,24.613824
14:46:28,24.19,26.19,18.55,24.613799
14:46:29,24.17,25.93,22.01,24.613784
14:46:30,24.21,25.85,21.63,24.613771
14:46:31,24.21,25.83,21.91,24.613746
14:46:32,24.23,25.97,21.57,24.613712
14:46:33,24.21,26.01,20.91,24.613691
14:46:34,24.23,25.91,21.07,24.613673
14:46:35,24.21,26.03,21.13,24.613659
14:46:36,24.19,26.05,21.11,24.613637
14:46:37,24.19,25.97,21.01,24.613614
14:46:38,24.21,25.99,21.57,24.613593
14:46:39,24.23,26.05,21.63,24.613571
14:46:40,24.19,26.09,22.79,24.613555
14:46:41,24.19,26.03,22.57,24.613531
14:46:42,24.23,25.93,21.47,24.613513
14:46:43,24.21,25.97,21.87,24.61349
14:46:44,24.21,25.85,23.09,24.613464
14:46:45,24.23,25.95,21.63,24.613438
14:46:46,24.23,25.99,20.19,24.613413
14:46:47,24.21,26.01,23.07,24.613382
14:46:48,24.23,26.03,24.51,24.613359
14:46:49,24.19,26.03,22.53,24.613343
