"t","Ta","To","To2","T"
16:01:37,24.07,25.97,22.19,24.611946
16:01:38,24.05,26.07,21.75,24.611929
16:01:39,24.03,26.05,22.05,24.611912
16:01:40,24.07,26.03,22.15,24.611905
16:01:41,24.07,26.03,21.93,24.611892
16:01:42,24.09,26.05,21.67,24.611871
16:01:43,24.05,26.07,22.43,24.611846
16:01:44,24.07,26.05,21.97,24.611822
16:01:45,24.03,25.99,21.83,24.611809
16:01:46,24.07,26.03,22.03,24.611795
16:01:47,24.05,26.01,21.95,24.611781
16:01:48,24.03,25.97,22.27,24.61177
16:01:49,24.03,25.97,22.23,24.61175
16:01:50,24.07,25.99,22.29,24.61173
16:01:51,24.05,26.05,21.79,24.611711
16:01:52,24.05,26.05,22.23,24.6117
16:01:53,24.01,25.99,21.89,24.611687
16:01:54,24.07,26.05,22.11,24.611672
16:01:55,24.07,26.05,22.11,24.611661
16:01:56,24.05,26.01,22.03,24.611643
16:01:57,24.11,26.13,22.13,24.611625
16:01:58,24.03,25.97,22.23,24.611607
16:01:59,24.03,25.99,22.11,24.611574
16:02:00,24.03,26.01,22.09,24.611552
16:02:01,24.03,25.97,22.27,24.611527
16:02:02,24.07,26.07,22.29,24.611523
16:02:03,24.11,25.93,22.63,24.611509
16:02:04,24.07,26.05,22.55,24.611493
16:02:05,24.07,25.99,22.13,24.61147
16:02:06,23.99,26.01,22.21,24.611454
16:02:07,24.07,26.01,22.31,24.61144
16:02:08,24.03,25.97,22.69,24.611426
16:02:09,24.01,26.01,22.21,24.611412
16:02:10,24.07,26.01,22.73,24.611402
16:02:11,24.03,25.99,22.51,24.6114
16:02:12,24.01,25.99,22.67,24.611387
16:02:13,24.05,26.01,22.37,24.611377
16:02:14,24.03,25.99,22.87,24.611366
16:02:15,24.05,26.09,22.45,24.611352
16:02:16,24.03,26.07,22.49,24.611343
16:02:17,24.07,26.05,22.59,24.611336
16:02:18,24.03,26.01,22.67,24.611324
16:02:19,24.05,26.07,22.45,24.611317
16:02:20,24.05,26.03,22.69,24.611314
16:02:21,24.03,26.01,22.35,24.611311
16:02:22,24.03,26.05,22.87,24.611303
16:02:23,24.05,26.07,22.69,24.611295
16:02:24,24.01,26.01,22.41,24.611295
16:02:25,24.05,26.07,22.61,24.611281
16:02:26,24.07,26.13,22.45,24.611277
16:02:27,24.05,26.11,22.33,24.611268
16:02:28,24.01,25.99,23.03,24.611258
16:02:29,23.83,25.99,22.03,24.611256
16:02:30,23.97,25.97,22.85,24.611255
16:02:31,24.05,26.09,23.09,24.611258
16:02:32,24.07,26.07,23.01,24.611246
16:02:33,24.01,26.09,23.09,24.611234
16:02:34,24.03,26.07,22.79,24.611227
16:02:35,24.05,26.11,22.77,24.611217
16:02:36,23.99,26.07,23.17,24.611213
16:02:37,24.03,26.07,22.97,24.611201
16:02:38,24.03,26.03,23.13,24.611196
16:02:39,24.07,26.13,23.47,24.611193
16:02:40,24.01,26.11,22.77,24.611184
